"WBGene00003426	chromatin (Hobert 2012)"
"WBGene00002169	chromatin (Hobert 2012)"
"WBGene00001029	chromatin (Hobert 2012)"
"WBGene00004950	chromatin (Hobert 2012)"
"WBGene00009595	chromatin (Hobert 2012)"
"WBGene00006715	chromatin (Hobert 2012)"
"WBGene00018319	chromatin (Hobert 2012)"
"WBGene00018327	chromatin (Hobert 2012)"
"WBGene00003034	chromatin (Hobert 2012)"
"WBGene00009663	chromatin (Hobert 2012)"
"WBGene00005013	chromatin (Hobert 2012)"
"WBGene00009672	chromatin (Hobert 2012)"
"WBGene00001945	chromatin (Hobert 2012)"
"WBGene00001975	chromatin (Hobert 2012)"
"WBGene00001880	chromatin (Hobert 2012)"
"WBGene00009793	chromatin (Hobert 2012)"
"WBGene00004802	chromatin (Hobert 2012)"
"WBGene00004801	chromatin (Hobert 2012)"
"WBGene00001972	chromatin (Hobert 2012)"
"WBGene00018569	chromatin (Hobert 2012)"
"WBGene00009827	chromatin (Hobert 2012)"
"WBGene00009831	chromatin (Hobert 2012)"
"WBGene00006393	chromatin (Hobert 2012)"
"WBGene00006424	chromatin (Hobert 2012)"
"WBGene00009924	chromatin (Hobert 2012)"
"WBGene00018669	chromatin (Hobert 2012)"
"WBGene00001092	chromatin (Hobert 2012)"
"WBGene00014769	chromatin (Hobert 2012)"
"WBGene00018778	chromatin (Hobert 2012)"
"WBGene00000803	chromatin (Hobert 2012)"
"WBGene00010007	chromatin (Hobert 2012)"
"WBGene00010010	chromatin (Hobert 2012)"
"WBGene00010011	chromatin (Hobert 2012)"
"WBGene00000262	chromatin (Hobert 2012)"
"WBGene00003221	chromatin (Hobert 2012)"
"WBGene00005014	chromatin (Hobert 2012)"
"WBGene00018794	chromatin (Hobert 2012)"
"WBGene00010036	chromatin (Hobert 2012)"
"WBGene00018812	chromatin (Hobert 2012)"
"WBGene00001929	chromatin (Hobert 2012)"
"WBGene00010061	chromatin (Hobert 2012)"
"WBGene00006975	chromatin (Hobert 2012)"
"WBGene00018836	chromatin (Hobert 2012)"
"WBGene00010067	chromatin (Hobert 2012)"
"WBGene00003597	chromatin (Hobert 2012)"
"WBGene00001933	chromatin (Hobert 2012)"
"WBGene00010120	chromatin (Hobert 2012)"
"WBGene00018909	chromatin (Hobert 2012)"
"WBGene00014772	chromatin (Hobert 2012)"
"WBGene00004032	chromatin (Hobert 2012)"
"WBGene00006704	chromatin (Hobert 2012)"
"WBGene00001831	chromatin (Hobert 2012)"
"WBGene00003438	chromatin (Hobert 2012)"
"WBGene00019026	chromatin (Hobert 2012)"
"WBGene00003460	chromatin (Hobert 2012)"
"WBGene00019095	chromatin (Hobert 2012)"
"WBGene00019118	chromatin (Hobert 2012)"
"WBGene00019130	chromatin (Hobert 2012)"
"WBGene00019158	chromatin (Hobert 2012)"
"WBGene00010369	chromatin (Hobert 2012)"
"WBGene00019190	chromatin (Hobert 2012)"
"WBGene00019217	chromatin (Hobert 2012)"
"WBGene00001996	chromatin (Hobert 2012)"
"WBGene00019303	chromatin (Hobert 2012)"
"WBGene00001914	chromatin (Hobert 2012)"
"WBGene00010523	chromatin (Hobert 2012)"
"WBGene00010537	chromatin (Hobert 2012)"
"WBGene00010545	chromatin (Hobert 2012)"
"WBGene00001089	chromatin (Hobert 2012)"
"WBGene00003469	chromatin (Hobert 2012)"
"WBGene00003456	chromatin (Hobert 2012)"
"WBGene00001901	chromatin (Hobert 2012)"
"WBGene00001891	chromatin (Hobert 2012)"
"WBGene00019455	chromatin (Hobert 2012)"
"WBGene00004312	chromatin (Hobert 2012)"
"WBGene00003036	chromatin (Hobert 2012)"
"WBGene00000098	chromatin (Hobert 2012)"
"WBGene00003467	chromatin (Hobert 2012)"
"WBGene00003425	chromatin (Hobert 2012)"
"WBGene00003449	chromatin (Hobert 2012)"
"WBGene00004949	chromatin (Hobert 2012)"
"WBGene00005015	chromatin (Hobert 2012)"
"WBGene00014801	chromatin (Hobert 2012)"
"WBGene00044226	chromatin (Hobert 2012)"
"WBGene00010677	chromatin (Hobert 2012)"
"WBGene00003434	chromatin (Hobert 2012)"
"WBGene00001995	chromatin (Hobert 2012)"
"WBGene00010704	chromatin (Hobert 2012)"
"WBGene00010708	chromatin (Hobert 2012)"
"WBGene00002006	chromatin (Hobert 2012)"
"WBGene00019584	chromatin (Hobert 2012)"
"WBGene00019627	chromatin (Hobert 2012)"
"WBGene00006394	chromatin (Hobert 2012)"
"WBGene00004888	chromatin (Hobert 2012)"
"WBGene00003400	chromatin (Hobert 2012)"
"WBGene00010785	chromatin (Hobert 2012)"
"WBGene00010808	chromatin (Hobert 2012)"
"WBGene00010840	chromatin (Hobert 2012)"
"WBGene00044069	chromatin (Hobert 2012)"
"WBGene00010845	chromatin (Hobert 2012)"
"WBGene00003218	chromatin (Hobert 2012)"
"WBGene00001585	chromatin (Hobert 2012)"
"WBGene00019777	chromatin (Hobert 2012)"
"WBGene00002344	chromatin (Hobert 2012)"
"WBGene00006713	chromatin (Hobert 2012)"
"WBGene00019864	chromatin (Hobert 2012)"
"WBGene00044281	chromatin (Hobert 2012)"
"WBGene00019883	chromatin (Hobert 2012)"
"WBGene00007008	chromatin (Hobert 2012)"
"WBGene00011027	chromatin (Hobert 2012)"
"WBGene00003429	chromatin (Hobert 2012)"
"WBGene00003430	chromatin (Hobert 2012)"
"WBGene00003431	chromatin (Hobert 2012)"
"WBGene00003220	chromatin (Hobert 2012)"
"WBGene00001836	chromatin (Hobert 2012)"
"WBGene00003041	chromatin (Hobert 2012)"
"WBGene00011068	chromatin (Hobert 2012)"
"WBGene00011116	chromatin (Hobert 2012)"
"WBGene00011111	chromatin (Hobert 2012)"
"WBGene00019953	chromatin (Hobert 2012)"
"WBGene00019947	chromatin (Hobert 2012)"
"WBGene00006707	chromatin (Hobert 2012)"
"WBGene00003123	chromatin (Hobert 2012)"
"WBGene00000366	chromatin (Hobert 2012)"
"WBGene00006385	chromatin (Hobert 2012)"
"WBGene00004800	chromatin (Hobert 2012)"
"WBGene00020006	chromatin (Hobert 2012)"
"WBGene00000137	chromatin (Hobert 2012)"
"WBGene00003450	chromatin (Hobert 2012)"
"WBGene00003446	chromatin (Hobert 2012)"
"WBGene00020111	chromatin (Hobert 2012)"
"WBGene00002196	chromatin (Hobert 2012)"
"WBGene00011352	chromatin (Hobert 2012)"
"WBGene00011365	chromatin (Hobert 2012)"
"WBGene00011368	chromatin (Hobert 2012)"
"WBGene00004145	chromatin (Hobert 2012)"
"WBGene00020214	chromatin (Hobert 2012)"
"WBGene00020235	chromatin (Hobert 2012)"
"WBGene00001976	chromatin (Hobert 2012)"
"WBGene00001859	chromatin (Hobert 2012)"
"WBGene00020299	chromatin (Hobert 2012)"
"WBGene00001332	chromatin (Hobert 2012)"
"WBGene00020314	chromatin (Hobert 2012)"
"WBGene00020320	chromatin (Hobert 2012)"
"WBGene00011615	chromatin (Hobert 2012)"
"WBGene00011636	chromatin (Hobert 2012)"
"WBGene00020390	chromatin (Hobert 2012)"
"WBGene00001876	chromatin (Hobert 2012)"
"WBGene00020408	chromatin (Hobert 2012)"
"WBGene00011729	chromatin (Hobert 2012)"
"WBGene00006391	chromatin (Hobert 2012)"
"WBGene00020463	chromatin (Hobert 2012)"
"WBGene00003040	chromatin (Hobert 2012)"
"WBGene00003466	chromatin (Hobert 2012)"
"WBGene00003465	chromatin (Hobert 2012)"
"WBGene00011743	chromatin (Hobert 2012)"
"WBGene00000482	chromatin (Hobert 2012)"
"WBGene00011785	chromatin (Hobert 2012)"
"WBGene00011782	chromatin (Hobert 2012)"
"WBGene00001974	chromatin (Hobert 2012)"
"WBGene00011887	chromatin (Hobert 2012)"
"WBGene00044070	chromatin (Hobert 2012)"
"WBGene00001182	chromatin (Hobert 2012)"
"WBGene00001560	chromatin (Hobert 2012)"
"WBGene00020716	chromatin (Hobert 2012)"
"WBGene00011939	chromatin (Hobert 2012)"
"WBGene00000476	chromatin (Hobert 2012)"
"WBGene00001647	chromatin (Hobert 2012)"
"WBGene00011964	chromatin (Hobert 2012)"
"WBGene00020742	chromatin (Hobert 2012)"
"WBGene00020779	chromatin (Hobert 2012)"
"WBGene00020821	chromatin (Hobert 2012)"
"WBGene00004781	chromatin (Hobert 2012)"
"WBGene00020823	chromatin (Hobert 2012)"
"WBGene00003025	chromatin (Hobert 2012)"
"WBGene00004806	chromatin (Hobert 2012)"
"WBGene00012109	chromatin (Hobert 2012)"
"WBGene00012110	chromatin (Hobert 2012)"
"WBGene00012111	chromatin (Hobert 2012)"
"WBGene00012112	chromatin (Hobert 2012)"
"WBGene00007029	chromatin (Hobert 2012)"
"WBGene00020919	chromatin (Hobert 2012)"
"WBGene00020920	chromatin (Hobert 2012)"
"WBGene00044749	chromatin (Hobert 2012)"
"WBGene00006700	chromatin (Hobert 2012)"
"WBGene00012209	chromatin (Hobert 2012)"
"WBGene00012218	chromatin (Hobert 2012)"
"WBGene00006382	chromatin (Hobert 2012)"
"WBGene00021018	chromatin (Hobert 2012)"
"WBGene00003599	chromatin (Hobert 2012)"
"WBGene00012302	chromatin (Hobert 2012)"
"WBGene00012298	chromatin (Hobert 2012)"
"WBGene00004298	chromatin (Hobert 2012)"
"WBGene00001947	chromatin (Hobert 2012)"
"WBGene00004077	chromatin (Hobert 2012)"
"WBGene00004789	chromatin (Hobert 2012)"
"WBGene00022425	chromatin (Hobert 2012)"
"WBGene00013676	chromatin (Hobert 2012)"
"WBGene00022431	chromatin (Hobert 2012)"
"WBGene00005020	chromatin (Hobert 2012)"
"WBGene00006710	chromatin (Hobert 2012)"
"WBGene00002804	chromatin (Hobert 2012)"
"WBGene00007030	chromatin (Hobert 2012)"
"WBGene00013763	chromatin (Hobert 2012)"
"WBGene00013766	chromatin (Hobert 2012)"
"WBGene00004203	chromatin (Hobert 2012)"
"WBGene00048283	chromatin (Hobert 2012)"
"WBGene00013792	chromatin (Hobert 2012)"
"WBGene00050174	chromatin (Hobert 2012)"
"WBGene00013799	chromatin (Hobert 2012)"
"WBGene00022473	chromatin (Hobert 2012)"
"WBGene00021192	chromatin (Hobert 2012)"
"WBGene00001977	chromatin (Hobert 2012)"
"WBGene00012458	chromatin (Hobert 2012)"
"WBGene00012474	chromatin (Hobert 2012)"
"WBGene00021214	chromatin (Hobert 2012)"
"WBGene00003222	chromatin (Hobert 2012)"
"WBGene00012527	chromatin (Hobert 2012)"
"WBGene00003085	chromatin (Hobert 2012)"
"WBGene00012551	chromatin (Hobert 2012)"
"WBGene00003406	chromatin (Hobert 2012)"
"WBGene00021474	chromatin (Hobert 2012)"
"WBGene00021465	chromatin (Hobert 2012)"
"WBGene00021466	chromatin (Hobert 2012)"
"WBGene00021483	chromatin (Hobert 2012)"
"WBGene00005010	chromatin (Hobert 2012)"
"WBGene00021515	chromatin (Hobert 2012)"
"WBGene00000416	chromatin (Hobert 2012)"
"WBGene00012845	chromatin (Hobert 2012)"
"WBGene00012802	chromatin (Hobert 2012)"
"WBGene00003755	chromatin (Hobert 2012)"
"WBGene00012877	chromatin (Hobert 2012)"
"WBGene00014898	chromatin (Hobert 2012)"
"WBGene00021604	chromatin (Hobert 2012)"
"WBGene00012929	chromatin (Hobert 2012)"
"WBGene00012943	chromatin (Hobert 2012)"
"WBGene00021645	chromatin (Hobert 2012)"
"WBGene00021636	chromatin (Hobert 2012)"
"WBGene00012982	chromatin (Hobert 2012)"
